,Denominacion_Generica_ES,Denominacion,Regimen,Codigo_postal,Localidad,long,lat
326,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP RAMÓN ESTEVE,Púb.,46840,LA POBLA DEL DUC,-0.422335,38.904553
327,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT SAN JOSÉ,Priv. Conc.,46185,LA POBLA DE VALLBONA,-0.554089,39.590055
328,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT SAN RAFAEL,Priv. Conc.,46185,LA POBLA DE VALLBONA,-0.553864,39.594976
329,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA,CENTRE PRIVAT COLOR DE MONTE COLORADO,Priv. Conc.,46185,LA POBLA DE VALLBONA,-0.558704,39.606416
330,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP LLUÍS VIVES,Púb.,46185,LA POBLA DE VALLBONA,-0.552943,39.589468
331,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA,CENTRE PRIVAT SANTA ANA,Priv. Conc.,46670,LA POBLA LLARGA,-0.476097,39.085292
332,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP DOCTOR SANCHIS GUARNER,Púb.,46670,LA POBLA LLARGA,-0.472824,39.085279
333,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP PARE JOFRÉ,Púb.,46540,EL PUIG DE SANTA MARIA,-0.301266,39.591725
334,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT ALFINACH,Priv.,46530,PUÇOL,-0.329209,39.623388
335,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP BISBE HERVÀS,Púb.,46530,PUÇOL,-0.298948,39.618673
336,COLEGIO DE EDUCACIÓN PRIMARIA,CEP LUIS VIVES,Púb.,46530,PUÇOL,-0.313609,39.616541
337,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP LUIS VIVES,Púb.,46824,QUESA,-0.74073,39.120451
338,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP VERGE DEL MIRACLE,Púb.,46138,RAFELBUNYOL,-0.337502,39.59046
339,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP AUSIÀS MARCH,Púb.,46716,RAFELCOFER,-0.168657,38.931522
340,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP VICENTE BLASCO IBÁÑEZ,Púb.,46666,RAFELGUARAF,-0.452171,39.050846
341,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT LAS COLINAS,Priv.,46727,EL REAL DE GANDIA,-0.195951,38.949664
342,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP BEATO CARMELO,Púb.,46727,EL REAL DE GANDIA,-0.188066,38.948596
343,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP SANT PERE APÒSTOL,Púb.,46194,REAL,-0.609599,39.334202
344,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP SERRANO CLAVERO,Púb.,46340,REQUENA,-1.105889,39.489962
345,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP ALFONSO X EL SABIO,Púb.,46340,REQUENA,-1.101165,39.488907
346,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP LUCIO GIL FAGOAGA,Púb.,46340,REQUENA,-1.108947,39.487491
347,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES OLEANA,Púb.,46340,REQUENA,-1.094553,39.492069
348,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES NÚMERO 1,Púb.,46340,REQUENA,-1.107806,39.487789
349,ESCUELA DE VITICULTURA Y ENOLOGÍA,ESCUELA DE VITICULTURA Y ENOLOGIA FÉLIX JIMÉNEZ,Púb.,46340,REQUENA,-1.099831,39.490617
350,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP MANUEL GARCÍA IZQUIERDO,Púb.,46390,REQUENA - SAN ANTONIO,-1.151755,39.519647
351,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT MARÍA DE ICÍAR,Priv.,46190,RIBA-ROJA DE TÚRIA,-0.538636,39.530807
352,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT ASUNCIÓN DE NUESTRA SEÑORA,Priv. Conc.,46190,RIBA-ROJA DE TÚRIA,-0.566745,39.542598
353,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP CERVANTES,Púb.,46190,RIBA-ROJA DE TÚRIA,-0.573016,39.543252
354,CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA,CENTRE PRIVAT ENTRENARANJOS,Priv.,46190,RIBA-ROJA DE TÚRIA,-0.53705,39.550002
355,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP MIGUEL HERNÁNDEZ,Púb.,46417,RIOLA,-0.336199,39.197607
356,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP SAN SEBASTIÁN,Púb.,46111,ROCAFORT,-0.40953,39.52748
357,CENTRO PRIVADO DE EDUCACIÓN INFANTIL DE PRIMER CICLO,CENTRE PRIV. ED. INF. 1er CICLE ALEVÍN,Priv.,46111,ROCAFORT,-0.419744,39.539437
358,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT MARÍA INMACULADA,Priv. Conc.,46520,SAGUNT - EL PUERTO SAGUNTO,-0.221899,39.662108
359,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP NUESTRA SEÑORA DE BEGOÑA,Púb.,46520,SAGUNT - EL PUERTO SAGUNTO,-0.217152,39.660644
360,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT SAN PEDRO APÓSTOL,Priv. Conc.,46520,SAGUNT - EL PUERTO SAGUNTO,-0.226432,39.660512
361,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP CERVANTES,Púb.,46520,SAGUNT - EL PUERTO SAGUNTO,-0.2248,39.6605
362,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP MAESTRO TARAZONA,Púb.,46520,SAGUNT - EL PUERTO SAGUNTO,-0.234532,39.669431
363,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES EDUARDO MERELLO,Púb.,46520,SAGUNT - EL PUERTO SAGUNTO,-0.228135,39.664905
364,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES JORGE JUAN,Púb.,46520,SAGUNT - EL PUERTO SAGUNTO,-0.250658,39.673469
365,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP BALADRE,Púb.,46520,SAGUNT - EL PUERTO SAGUNTO,-0.241882,39.672
366,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT SAN VICENTE FERRER,Priv. Conc.,46500,SAGUNT,-0.299874,39.693498
367,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP CRONISTA CHABRET,Púb.,46500,SAGUNT,-0.277662,39.681475
368,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP JOSÉ ROMEU,Púb.,46500,SAGUNT,-0.271975,39.680245
369,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,CEIP MONTÍBER,Púb.,46500,SAGUNT,-0.27601,39.683989
370,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CENTRE PRIVAT ADVENTISTA,Priv. Conc.,46500,SAGUNT,-0.282254,39.70235
371,INSTITUTO DE EDUCACIÓN SECUNDARIA,IES CLOT DEL MORO,Púb.,46500,SAGUNT,-0.290601,39.675864
